DiscountID,Name,Description,DiscountRate,StartDate,EndDate
234627,Stand-alone tangible portal,Significant offer hold stay care decide later.,25.59,2023-05-07,2023-07-21
450061,Universal 3rdgeneration encryption,Right set government top chance newspaper environmental number difference.,21.22,2023-08-17,2023-10-10
138449,De-engineered fault-tolerant migration,Cause computer amount their important thought student friend any world.,10.8,2023-09-12,2023-12-01
966969,Advanced systemic implementation,Data society share ask general nothing dream.,13.39,2023-10-02,2023-11-13
13103,Sharable tertiary leverage,Yourself picture skill man lawyer option positive.,6.46,2023-02-16,2023-03-13
271582,Implemented value-added secured line,Contain ago phone drug rather fall Republican seat machine can not.,20.08,2023-07-30,2023-08-30
92878,Switchable directional ability,Consumer interview court alone under operation matter sort movement book smile perhaps.,22.46,2023-02-17,2023-03-24
45654,Vision-oriented 4thgeneration adapter,Red perform girl establish power whose bar loss.,25.34,2023-03-15,2023-05-04
132947,Innovative encompassing database,Store general serious remain baby few.,11.71,2023-07-17,2023-09-22
865589,Vision-oriented uniform protocol,Main allow opportunity not memory direction.,44.71,2023-06-23,2023-08-28
754581,Right-sized web-enabled encoding,General memory operation art before design black.,29.73,2022-12-28,2023-01-03
218303,Operative fresh-thinking methodology,Ground room sort since sister reason hospital his money book all fire.,34.28,2022-12-07,2022-12-26
728627,Profit-focused impactful project,There first production ok spring conference message food but stop office.,6.15,2023-06-10,2023-07-20
491980,Advanced object-oriented benchmark,Country your high year moment environment.,48.59,2023-10-08,2023-10-24
381374,Multi-layered neutral benchmark,Home fear issue cut assume unit whether among writer now onto chance study.,37.73,2023-09-15,2023-10-07
908394,Intuitive explicit moratorium,Safe head they do power bar effort create any miss new resource garden.,24.2,2023-04-03,2023-06-26
946939,Configurable value-added installation,Material draw forward class age impact open learn chance.,42.33,2023-09-21,2023-12-13
673065,User-friendly multi-state initiative,Good campaign body about dream easy.,11.6,2023-04-07,2023-06-01
501056,Function-based secondary utilization,Research drug common its pick simple maybe bill American range think room.,23.85,2023-01-07,2023-01-18
729373,Future-proofed holistic product,Cut this example blue feel crime act fire.,39.87,2023-05-24,2023-06-22
499875,Enterprise-wide radical artificial intelligence,Run scene natural and our society seem say feel do.,47.91,2023-06-25,2023-09-09
324530,Realigned content-based toolset,Us feel without final plant father environmental.,21.48,2023-10-26,2023-12-03
415054,Centralized static toolset,Two me physical item prevent mention rate water.,43.95,2023-08-11,2023-08-24
693497,Programmable upward-trending parallelism,Study onto situation article involve citizen.,27.32,2023-10-04,2023-10-06
92983,Organic executive knowledge user,Account director nothing front then somebody enjoy material several large professor statement.,22.64,2023-08-02,2023-08-05
616107,Down-sized dynamic strategy,Reason alone everybody serve listen may policy our region modern.,38.95,2023-02-08,2023-02-14
844971,Multi-tiered discrete data-warehouse,Let of nature little clearly door data green likely camera six TV when set.,46.42,2023-09-15,2023-10-11
692106,Grass-roots composite success,You air term still pick member everyone kid of side sport moment blood.,38.35,2023-08-05,2023-09-18
448326,Vision-oriented executive monitoring,Whole nice foot you near thousand offer without.,24.0,2022-12-06,2023-03-01
359733,Stand-alone methodical budgetary management,Fear religious end foot he determine everybody subject program.,46.13,2022-11-25,2023-02-20
210431,Organic eco-centric functionalities,Best road spend seek church country individual worry several least modern drive laugh.,23.67,2022-12-06,2023-03-05
995923,Customer-focused discrete help-desk,Affect despite thank information most wall program least contain professional.,5.83,2023-02-16,2023-04-11
3691,Universal human-resource Internet solution,Possible Mrs collection life while kitchen oil test perhaps others treat charge coach.,17.95,2023-08-01,2023-09-13
950349,Self-enabling mission-critical time-frame,Key personal develop serious management again wall grow particularly.,22.18,2023-04-17,2023-05-30
39567,Expanded reciprocal neural-net,Yet campaign individual chair unit such happen.,24.24,2023-06-06,2023-08-13
123388,Front-line bi-directional website,Husband hotel list fire recent fire must the turn environment.,40.81,2023-01-10,2023-02-25
37255,Fully-configurable reciprocal strategy,Major first series might thank late artist number total.,41.49,2023-02-08,2023-04-21
835477,Front-line actuating throughput,Magazine avoid here national middle interest most use.,23.84,2022-12-31,2023-03-15
979437,Fundamental secondary initiative,Agency possible personal add family question.,48.13,2023-01-27,2023-03-08
84135,Secured web-enabled superstructure,News off rule behavior both something hard.,27.49,2023-07-13,2023-08-28
379177,Pre-emptive fault-tolerant budgetary management,Different age right policy firm wrong stay.,14.6,2023-05-07,2023-07-31
952515,Decentralized grid-enabled application,Hear author stuff want while kid situation space black song.,21.06,2023-09-29,2023-12-25
911383,Monitored next generation info-mediaries,Place draw public line issue seat air allow family Republican.,10.5,2023-04-02,2023-04-04
992978,Programmable scalable architecture,Show necessary actually social involve bad born.,29.14,2023-11-06,2023-12-24
270469,Adaptive eco-centric contingency,Pay pay wife leave resource after my century magazine ball want deep rather free.,9.37,2023-06-05,2023-08-19
808068,Focused didactic matrices,Again western sport card effect subject sound effort follow draw part sea.,19.39,2022-11-25,2023-02-21
859909,Customer-focused composite contingency,Peace majority once feeling check history near fund.,47.83,2023-07-23,2023-10-01
922872,Cloned asymmetric strategy,What evening information hundred order learn.,33.66,2023-04-01,2023-06-11
626524,Visionary contextually-based portal,Finally especially base edge policy go road election alone.,33.31,2023-02-06,2023-03-01
199818,Fully-configurable high-level secured line,Practice situation grow notice message necessary budget.,28.59,2023-03-10,2023-04-21
316697,Triple-buffered national hub,Street house billion accept board year.,10.54,2023-02-28,2023-05-11
64948,Multi-channeled dedicated open system,Pick day democratic industry candidate wonder grow last.,26.86,2023-04-27,2023-07-08
956653,Expanded impactful portal,Research analysis food voice law project old conference itself sister eight game claim.,45.85,2023-05-28,2023-08-22
191986,Realigned optimizing help-desk,Peace television night administration two today rule individual have.,30.97,2023-04-13,2023-07-10
864367,Assimilated homogeneous attitude,Truth herself time human sit environment add entire door cup set moment south day.,32.41,2023-10-22,2023-12-28
951109,Mandatory fault-tolerant concept,Explain himself dream education provide spring like grow city short side of.,38.7,2023-09-07,2023-09-24
750504,Programmable foreground structure,Bar anyone follow model treatment happen scene every short single.,20.46,2022-11-25,2023-01-03
339428,Intuitive eco-centric monitoring,Month low media Mrs attack seem job wish direction hair relate general home energy.,16.57,2022-11-30,2023-02-04
875403,Synergistic mission-critical structure,Main tend significant simple offer but pass important suggest daughter modern.,9.41,2023-05-20,2023-07-17
242465,Multi-lateral demand-driven collaboration,Force indeed rate they market watch only cultural represent live agreement.,16.33,2023-11-07,2024-01-24
13415,Advanced regional archive,Necessary firm show war chair pull able generation purpose oil.,7.92,2022-12-20,2023-01-26
571714,Cloned demand-driven capability,Interesting herself minute song morning last.,34.51,2022-11-27,2022-11-30
228299,Balanced zero tolerance hardware,Stuff would table adult off Mrs environment head provide trouble treatment every.,25.02,2023-09-23,2023-09-28
489649,Operative object-oriented secured line,Section interview forget modern study perform movie shoulder.,25.98,2023-05-26,2023-08-10
378408,Cross-group client-driven encoding,Through allow administration huge really television give pretty single direction realize sing whatever.,30.85,2023-05-06,2023-05-15
928744,Right-sized neutral challenge,International report maintain experience must control evening fish account any against.,12.84,2023-07-05,2023-07-16
911523,Front-line discrete archive,Perform artist official industry build surface more purpose.,22.96,2023-08-13,2023-11-02
238599,Extended mobile service-desk,Knowledge they main source require employee wind fish example.,17.88,2023-06-21,2023-08-27
169874,Switchable asynchronous paradigm,Still writer fill people animal couple traditional wide.,9.99,2023-01-13,2023-02-03
982993,Implemented dedicated success,Blue have maybe work arrive thousand be side he admit picture.,29.74,2023-11-12,2023-12-03
832104,Implemented responsive capacity,Girl continue little physical include cut wide base quite.,9.81,2022-12-31,2023-03-03
967503,Cross-group full-range structure,Indicate that of meet compare effort option usually scientist science.,35.57,2023-06-28,2023-08-24
458319,Grass-roots bifurcated migration,Herself discuss determine season television authority whether deep question security.,17.63,2023-05-04,2023-07-04
644698,Function-based system-worthy forecast,Available early mother including character claim piece herself.,48.91,2022-11-29,2023-02-01
314799,Optimized context-sensitive forecast,Including southern old argue unit again drug business.,29.3,2023-04-25,2023-05-15
611682,Multi-channeled dynamic adapter,Threat send itself agency pass something son town the debate.,5.54,2023-02-20,2023-05-07
196242,Compatible even-keeled synergy,Same along nothing give choice indeed during class cell order fact win month.,34.28,2023-05-30,2023-07-08
321058,Monitored object-oriented leverage,Remain usually decade accept military seek article stage spring perhaps whole.,9.41,2023-03-24,2023-06-07
702235,Face-to-face bandwidth-monitored adapter,Through after yes cold during same experience small bag charge make.,48.23,2022-12-26,2023-01-04
410574,Compatible methodical knowledgebase,Improve employee southern newspaper already seek fund page pick become receive.,31.95,2023-01-01,2023-01-08
248321,Persistent local open system,Society real particularly everything social TV trip enough past them story.,15.04,2023-04-28,2023-05-16
778907,Persevering cohesive projection,Human night art site buy first way base customer fear.,48.65,2022-12-02,2022-12-05
341670,Enhanced next generation orchestration,Hospital hospital hotel matter capital agree understand sure expert skill entire forward beat stand.,38.42,2023-10-05,2023-12-31
935900,Managed intermediate parallelism,Here general cultural trade discussion wait always total of.,47.22,2023-05-22,2023-07-27
252440,Sharable well-modulated algorithm,Fish resource why star car today talk factor.,10.67,2023-11-05,2023-12-20
482024,Intuitive disintermediate open system,Because travel avoid project Democrat several later.,18.87,2023-03-08,2023-05-08
381183,Secured bandwidth-monitored Graphical User Interface,Receive environment investment pretty occur weight mother kitchen poor majority.,35.44,2023-07-31,2023-10-27
129730,De-engineered logistical workforce,Arm election member trade week bad grow effort them school protect.,39.85,2023-04-23,2023-07-16
647691,Synergized tangible product,Race nothing energy create manage he score customer.,32.23,2022-12-13,2023-01-04
797694,Cross-platform even-keeled project,True hand second about list fine know again character rock across.,16.91,2023-10-08,2023-10-24
461329,Optional upward-trending secured line,Quality parent responsibility lawyer manage during realize stand.,30.52,2023-11-03,2023-11-27
710931,Customizable full-range workforce,Minute dinner since contain necessary face box into box drive such.,25.82,2022-11-27,2023-02-18
166362,Progressive bandwidth-monitored encoding,Pm ground imagine prove dark above phone space prevent people serve.,38.88,2023-11-05,2023-11-28
907097,Balanced background workforce,Drug face month certainly road mission.,45.64,2023-01-09,2023-02-25
654865,Innovative motivating capability,Expect perhaps Congress style million news do.,23.06,2022-11-22,2022-12-22
487409,Monitored discrete infrastructure,Statement yeah cover pressure yes rate suffer reveal build.,21.1,2023-10-20,2023-11-03
66755,Re-contextualized motivating definition,Head direction performance nor amount it late day see hope.,13.58,2023-01-08,2023-02-15
871719,Up-sized secondary frame,Teach not authority effect of day become stage.,7.84,2023-11-04,2023-12-08
292158,Intuitive national alliance,Experience subject probably use view police reason have surface interview bit.,31.44,2023-08-02,2023-09-26
900443,User-centric methodical attitude,Show everybody institution true determine laugh allow two relate goal yes his.,19.89,2023-07-15,2023-08-24
