Unnamed: 0,ProductID,Name,CategoryID,Price,Description,StockLevel,SupplierID
0,7174,Smartphones & Accessories - productize B2C schemas,1,223.3,Tonight child last risk size music. Specifically designed for smartphones & accessories.,135,44
1,6687,Wearable Technology - transition bleeding-edge paradigms,7,805.97,This fish middle market while institution fine. Specifically designed for wearable technology.,13,34
2,3246,TVs & Monitors - synergize mission-critical paradigms,4,1464.29,Stock teacher yard enjoy whose risk. Specifically designed for tvs & monitors.,385,33
3,8076,Smartphones & Accessories - engage holistic niches,1,655.6,Wide parent meeting development nation. Specifically designed for smartphones & accessories.,205,26
4,3952,Computers & Laptops - transform front-end niches,2,790.0,Provide instead eat second now president. Specifically designed for computers & laptops.,233,25
5,584,Smartphones & Accessories - matrix revolutionary e-commerce,1,1194.22,Training voice hair develop for your. Specifically designed for smartphones & accessories.,161,14
6,3962,TVs & Monitors - incentivize collaborative web-readiness,4,582.1,Few plan focus stop claim. Specifically designed for tvs & monitors.,320,96
7,8762,Smartphones & Accessories - incentivize clicks-and-mortar initiatives,1,1070.52,Western yourself beautiful often. Specifically designed for smartphones & accessories.,86,1
8,6832,Drones & Tech Toys - streamline next-generation e-business,8,1094.28,Increase operation while high probably. Specifically designed for drones & tech toys.,425,73
9,5704,Computers & Laptops - unleash enterprise convergence,2,590.77,Be such include seven. Specifically designed for computers & laptops.,12,86
10,4766,TVs & Monitors - target user-centric metrics,4,143.42,Five several effort author concern speech price. Specifically designed for tvs & monitors.,245,94
11,9436,Smartphones & Accessories - extend scalable convergence,1,344.19,Political usually you work stuff. Specifically designed for smartphones & accessories.,417,34
12,8746,Drones & Tech Toys - harness magnetic ROI,8,236.28,Boy including structure letter affect attack finally five. Specifically designed for drones & tech toys.,77,39
13,6970,TVs & Monitors - redefine distributed schemas,4,1322.29,Factor investment business. Specifically designed for tvs & monitors.,147,47
14,2949,Smartphones & Accessories - incubate global channels,1,1392.35,Hold doctor wife us. Specifically designed for smartphones & accessories.,26,67
15,4500,Gaming Consoles & Accessories - cultivate strategic action-items,5,748.89,Forward senior product throughout but. Specifically designed for gaming consoles & accessories.,341,1
16,2226,Smartphones & Accessories - repurpose synergistic functionalities,1,1315.98,Bag lawyer international until edge truth. Specifically designed for smartphones & accessories.,345,22
17,8188,Smartphones & Accessories - extend end-to-end technologies,1,267.66,Group challenge return more. Specifically designed for smartphones & accessories.,375,95
18,485,Drones & Tech Toys - scale world-class architectures,8,333.43,Already recently bad dinner ask also around. Specifically designed for drones & tech toys.,266,55
19,2579,Gaming Consoles & Accessories - maximize impactful content,5,1152.56,Study simple tree. Specifically designed for gaming consoles & accessories.,62,15
20,7550,Gaming Consoles & Accessories - transition efficient schemas,5,211.52,Ten close land long read. Specifically designed for gaming consoles & accessories.,314,68
21,4339,Smartphones & Accessories - morph 24/365 models,1,176.89,Business tree adult bar. Specifically designed for smartphones & accessories.,276,21
22,3090,Drones & Tech Toys - iterate leading-edge metrics,8,130.39,Fire clear spring environment. Specifically designed for drones & tech toys.,30,87
23,793,Gaming Consoles & Accessories - monetize B2B solutions,5,1396.95,Walk beyond large gas. Specifically designed for gaming consoles & accessories.,107,72
24,8862,Drones & Tech Toys - cultivate cutting-edge supply-chains,8,219.82,Yeah authority like peace south rate provide money. Specifically designed for drones & tech toys.,111,15
25,4969,Gaming Consoles & Accessories - expedite synergistic portals,5,889.71,Time citizen natural mean population herself wish. Specifically designed for gaming consoles & accessories.,483,78
26,7774,TVs & Monitors - extend strategic supply-chains,4,1078.55,Information nice size remain kid newspaper gas. Specifically designed for tvs & monitors.,396,49
27,2427,TVs & Monitors - facilitate best-of-breed mindshare,4,1322.63,Never rather usually several order matter glass. Specifically designed for tvs & monitors.,268,26
28,6766,Computers & Laptops - transition virtual ROI,2,1327.85,Lay general sell event analysis. Specifically designed for computers & laptops.,498,25
29,6070,Smartphones & Accessories - reinvent rich e-business,1,1154.63,Born speech something question defense people. Specifically designed for smartphones & accessories.,68,68
30,1756,Gaming Consoles & Accessories - facilitate open-source channels,5,705.37,According college remember long win energy. Specifically designed for gaming consoles & accessories.,286,73
31,1512,TVs & Monitors - seize B2B supply-chains,4,950.25,Million development push perform job there address. Specifically designed for tvs & monitors.,334,91
32,7883,Gaming Consoles & Accessories - architect 24/7 eyeballs,5,1179.77,Quite enjoy second clear fund. Specifically designed for gaming consoles & accessories.,217,86
33,1871,TVs & Monitors - unleash intuitive networks,4,966.19,Camera green build team put lot. Specifically designed for tvs & monitors.,200,66
34,217,TVs & Monitors - integrate 24/7 vortals,4,101.36,Political moment return own attorney participant general. Specifically designed for tvs & monitors.,194,18
35,3966,TVs & Monitors - envisioneer 24/365 e-tailers,4,1442.35,Environment hear pay close candidate will group. Specifically designed for tvs & monitors.,186,82
36,8463,Gaming Consoles & Accessories - empower revolutionary communities,5,295.87,During institution choice less under degree. Specifically designed for gaming consoles & accessories.,341,46
37,7747,Wearable Technology - revolutionize interactive markets,7,740.59,Them region blood heavy work piece. Specifically designed for wearable technology.,118,4
38,5157,TVs & Monitors - implement integrated methodologies,4,916.11,Travel section she imagine together part standard. Specifically designed for tvs & monitors.,0,9
39,8769,Gaming Consoles & Accessories - innovate turn-key eyeballs,5,192.04,Significant look east radio ready. Specifically designed for gaming consoles & accessories.,30,6
40,4537,Smartphones & Accessories - innovate 24/365 methodologies,1,641.1,Fact able report. Specifically designed for smartphones & accessories.,489,4
41,8854,Smartphones & Accessories - matrix scalable e-business,1,365.99,Agree final land begin southern particular maintain. Specifically designed for smartphones & accessories.,449,42
42,3449,Smartphones & Accessories - cultivate dynamic interfaces,1,103.22,Focus learn lose opportunity. Specifically designed for smartphones & accessories.,487,83
43,5531,Smartphones & Accessories - monetize extensible users,1,1023.65,Performance his civil agent scientist nearly. Specifically designed for smartphones & accessories.,485,44
44,5549,Smartphones & Accessories - engineer holistic models,1,360.98,Full recently ball report single. Specifically designed for smartphones & accessories.,76,73
45,7453,Gaming Consoles & Accessories - transition rich ROI,5,1298.95,Security water paper network walk guy. Specifically designed for gaming consoles & accessories.,483,72
46,2508,Gaming Consoles & Accessories - generate open-source deliverables,5,579.92,Key ability son care himself sort institution tough. Specifically designed for gaming consoles & accessories.,228,2
47,2066,Gaming Consoles & Accessories - matrix compelling web services,5,1364.6,Around involve two when near. Specifically designed for gaming consoles & accessories.,155,42
48,9854,Gaming Consoles & Accessories - integrate interactive niches,5,716.26,Serve maybe response most. Specifically designed for gaming consoles & accessories.,304,22
49,6302,Smartphones & Accessories - extend dot-com e-commerce,1,1175.16,Land what research someone southern rather sell. Specifically designed for smartphones & accessories.,385,17
50,8134,Computers & Laptops - deliver extensible eyeballs,2,142.15,Region pull nor consider order. Specifically designed for computers & laptops.,314,64
51,1893,Gaming Consoles & Accessories - e-enable best-of-breed e-services,5,705.31,Argue however voice economic matter weight. Specifically designed for gaming consoles & accessories.,60,9
52,1043,Computers & Laptops - iterate visionary partnerships,2,1360.73,Draw rule play road side cause. Specifically designed for computers & laptops.,246,22
53,5026,TVs & Monitors - enhance front-end mindshare,4,753.2,His top brother scientist detail mention world. Specifically designed for tvs & monitors.,361,68
54,2865,TVs & Monitors - disintermediate cross-platform markets,4,217.48,Drive shake that official more hold contain. Specifically designed for tvs & monitors.,164,84
55,4518,TVs & Monitors - drive one-to-one vortals,4,315.01,Group attorney against sit. Specifically designed for tvs & monitors.,326,7
56,5962,Smartphones & Accessories - drive virtual eyeballs,1,207.05,Structure bar together sign. Specifically designed for smartphones & accessories.,188,48
57,2202,Smartphones & Accessories - extend turn-key deliverables,1,995.02,When writer past yeah. Specifically designed for smartphones & accessories.,499,38
58,5998,Smartphones & Accessories - incubate user-centric technologies,1,1431.07,Control figure bill dinner term heavy. Specifically designed for smartphones & accessories.,147,79
59,7569,TVs & Monitors - generate e-business architectures,4,285.31,Growth weight listen from. Specifically designed for tvs & monitors.,469,17
60,7566,Gaming Consoles & Accessories - visualize leading-edge supply-chains,5,335.17,Environment off day sister individual. Specifically designed for gaming consoles & accessories.,438,67
61,4248,TVs & Monitors - strategize dot-com deliverables,4,525.49,Character black mission. Specifically designed for tvs & monitors.,458,20
62,6856,Cameras & Photography - engage one-to-one ROI,3,733.48,Four country attorney cover maintain capital same though. Specifically designed for cameras & photography.,163,68
63,2456,Gaming Consoles & Accessories - integrate clicks-and-mortar e-tailers,5,741.07,Show week capital citizen. Specifically designed for gaming consoles & accessories.,304,87
64,2886,Computers & Laptops - seize best-of-breed e-markets,2,1362.09,Father attack anything offer summer. Specifically designed for computers & laptops.,84,82
65,2523,Smartphones & Accessories - monetize seamless action-items,1,58.5,Her there since former can one. Specifically designed for smartphones & accessories.,363,43
66,3030,Drones & Tech Toys - scale out-of-the-box models,8,542.4,Conference none technology type much. Specifically designed for drones & tech toys.,41,91
67,4438,Gaming Consoles & Accessories - disintermediate enterprise content,5,1256.48,Story machine whatever. Specifically designed for gaming consoles & accessories.,366,17
68,6446,Smartphones & Accessories - enhance transparent functionalities,1,98.32,Past choose imagine first cultural drop bill Mr. Specifically designed for smartphones & accessories.,53,62
69,8831,Smartphones & Accessories - optimize open-source interfaces,1,328.9,Forward service would together year year personal example. Specifically designed for smartphones & accessories.,366,97
70,4131,Smartphones & Accessories - deploy web-enabled functionalities,1,1449.82,Hit note part some floor policy. Specifically designed for smartphones & accessories.,220,81
71,7795,Smartphones & Accessories - generate back-end initiatives,1,856.06,Speak say watch think. Specifically designed for smartphones & accessories.,235,92
72,4335,TVs & Monitors - morph mission-critical partnerships,4,420.54,Plant hotel attorney his ahead yard rather same. Specifically designed for tvs & monitors.,435,48
73,2489,Computers & Laptops - iterate bleeding-edge deliverables,2,1246.39,South across eye power although. Specifically designed for computers & laptops.,107,71
74,9450,Drones & Tech Toys - reinvent visionary bandwidth,8,103.25,Stage item get leader blue. Specifically designed for drones & tech toys.,72,50
75,7620,Wearable Technology - enhance out-of-the-box e-markets,7,1131.83,Black have star might common traditional. Specifically designed for wearable technology.,397,16
76,6749,Computers & Laptops - envisioneer cross-platform web-readiness,2,969.27,Month nation firm his result box quickly. Specifically designed for computers & laptops.,192,22
77,8971,Drones & Tech Toys - e-enable rich vortals,8,402.55,Matter smile blue about rest soldier manager. Specifically designed for drones & tech toys.,123,16
78,7140,Wearable Technology - re-intermediate transparent communities,7,383.44,Democrat worry take can. Specifically designed for wearable technology.,163,48
79,6520,TVs & Monitors - optimize one-to-one users,4,1359.76,Bit training personal woman animal. Specifically designed for tvs & monitors.,72,41
80,2614,Computers & Laptops - benchmark front-end platforms,2,638.09,Allow discuss foreign believe see. Specifically designed for computers & laptops.,14,100
81,4292,TVs & Monitors - incentivize proactive models,4,182.94,Rise current offer go building garden. Specifically designed for tvs & monitors.,450,29
82,345,Drones & Tech Toys - exploit distributed initiatives,8,1220.68,Pretty south whole consider page either strong memory. Specifically designed for drones & tech toys.,281,74
83,6711,Smartphones & Accessories - re-contextualize granular users,1,265.31,Evening different world need. Specifically designed for smartphones & accessories.,216,44
84,7866,Gaming Consoles & Accessories - synergize one-to-one systems,5,1210.48,Yourself present range assume moment. Specifically designed for gaming consoles & accessories.,394,76
85,5726,Smartphones & Accessories - utilize strategic channels,1,636.42,Information rather anything guess could garden reality. Specifically designed for smartphones & accessories.,262,52
86,8167,Computers & Laptops - monetize end-to-end info-mediaries,2,183.11,Quality produce protect send. Specifically designed for computers & laptops.,285,24
87,5881,Smartphones & Accessories - redefine plug-and-play action-items,1,51.44,Since indicate woman father born body town. Specifically designed for smartphones & accessories.,191,43
88,3797,TVs & Monitors - revolutionize dot-com bandwidth,4,862.43,Small story remain beautiful important born. Specifically designed for tvs & monitors.,14,21
89,6059,Drones & Tech Toys - leverage web-enabled relationships,8,1352.99,Interesting player customer billion agreement image body. Specifically designed for drones & tech toys.,410,62
90,4071,Computers & Laptops - empower global metrics,2,956.73,Issue opportunity process authority teacher machine. Specifically designed for computers & laptops.,356,97
91,9891,Drones & Tech Toys - strategize synergistic e-commerce,8,1002.8,More tree cut amount save. Specifically designed for drones & tech toys.,38,28
92,1887,TVs & Monitors - incubate intuitive deliverables,4,801.03,Much box increase drive job. Specifically designed for tvs & monitors.,479,8
93,1738,Wearable Technology - reinvent dot-com infrastructures,7,483.88,Town support practice direction mention listen. Specifically designed for wearable technology.,195,91
94,4337,Smartphones & Accessories - reinvent best-of-breed interfaces,1,391.66,Lot Democrat put send expect. Specifically designed for smartphones & accessories.,147,91
95,5475,Smartphones & Accessories - generate out-of-the-box e-business,1,182.27,Goal radio consumer ground seek American. Specifically designed for smartphones & accessories.,185,60
96,1089,Gaming Consoles & Accessories - aggregate ubiquitous channels,5,1373.0,Whose fill image success share whom. Specifically designed for gaming consoles & accessories.,287,74
97,174,TVs & Monitors - enable revolutionary paradigms,4,510.78,Civil street affect general space. Specifically designed for tvs & monitors.,471,37
98,6612,Smartphones & Accessories - integrate transparent partnerships,1,247.03,Goal air scientist would. Specifically designed for smartphones & accessories.,77,57
99,6770,Smartphones & Accessories - orchestrate efficient technologies,1,752.17,Writer bank according full wait growth. Specifically designed for smartphones & accessories.,266,80
100,7750,Computers & Laptops - engineer killer partnerships,2,1477.17,Say environmental fight provide. Specifically designed for computers & laptops.,345,75
101,6162,Drones & Tech Toys - enable front-end action-items,8,1018.48,Feeling certain policy tax enter building score. Specifically designed for drones & tech toys.,163,79
102,5324,Smartphones & Accessories - utilize wireless synergies,1,1495.85,Year head responsibility few attorney listen. Specifically designed for smartphones & accessories.,24,85
103,8017,Drones & Tech Toys - seize clicks-and-mortar info-mediaries,8,917.44,Manager total anything interesting. Specifically designed for drones & tech toys.,484,14
104,4307,Smartphones & Accessories - mesh interactive bandwidth,1,1006.95,Much source city team. Specifically designed for smartphones & accessories.,377,20
105,9280,Computers & Laptops - unleash rich methodologies,2,669.08,Deal lead everything. Specifically designed for computers & laptops.,72,72
106,4882,Gaming Consoles & Accessories - empower e-business markets,5,893.12,Continue try half often moment than fly. Specifically designed for gaming consoles & accessories.,421,42
107,159,TVs & Monitors - re-contextualize vertical metrics,4,102.22,Condition kind school fill want all while. Specifically designed for tvs & monitors.,466,20
108,8044,Drones & Tech Toys - evolve granular content,8,521.48,Nice fill performance moment. Specifically designed for drones & tech toys.,50,88
109,688,Gaming Consoles & Accessories - whiteboard interactive relationships,5,1114.22,Mean leg line until real strong although fish. Specifically designed for gaming consoles & accessories.,72,59
110,2994,Smartphones & Accessories - streamline B2B schemas,1,356.35,Scene center five soldier. Specifically designed for smartphones & accessories.,495,11
111,12,TVs & Monitors - envisioneer innovative infrastructures,4,1460.7,Many bar sign reality Mrs. Specifically designed for tvs & monitors.,296,52
112,1869,TVs & Monitors - empower open-source bandwidth,4,1174.09,Measure certainly bring real exactly explain likely. Specifically designed for tvs & monitors.,227,28
113,6986,Smartphones & Accessories - unleash bleeding-edge metrics,1,1198.17,Hear grow develop grow once possible today. Specifically designed for smartphones & accessories.,274,46
114,8875,Smartphones & Accessories - drive global interfaces,1,398.36,Real peace even pick. Specifically designed for smartphones & accessories.,321,12
115,9415,TVs & Monitors - productize one-to-one e-tailers,4,986.66,Recognize learn scene painting language. Specifically designed for tvs & monitors.,155,83
116,6963,Gaming Consoles & Accessories - transform killer solutions,5,703.49,Discussion take break fish area sound. Specifically designed for gaming consoles & accessories.,291,59
117,1219,Smartphones & Accessories - synthesize value-added synergies,1,967.23,Look forward whom nice. Specifically designed for smartphones & accessories.,46,76
118,6436,Gaming Consoles & Accessories - enhance best-of-breed paradigms,5,351.84,Learn themselves end forget woman. Specifically designed for gaming consoles & accessories.,376,35
119,5759,TVs & Monitors - expedite distributed metrics,4,1355.49,Act culture performance sing evidence. Specifically designed for tvs & monitors.,99,5
120,6686,Drones & Tech Toys - evolve extensible users,8,661.35,North how could doctor himself certainly stage need. Specifically designed for drones & tech toys.,67,69
121,617,Gaming Consoles & Accessories - deliver user-centric convergence,5,884.1,Industry address become dog now. Specifically designed for gaming consoles & accessories.,99,18
122,5337,Drones & Tech Toys - scale collaborative applications,8,181.97,Century event beautiful again write ability size. Specifically designed for drones & tech toys.,93,14
123,5963,Drones & Tech Toys - iterate impactful metrics,8,1175.81,Congress minute lawyer weight economic. Specifically designed for drones & tech toys.,485,5
124,3687,TVs & Monitors - transform plug-and-play users,4,969.4,Step offer once kind arm place. Specifically designed for tvs & monitors.,300,92
125,5624,Smartphones & Accessories - revolutionize viral markets,1,1235.6,Fast official support friend line. Specifically designed for smartphones & accessories.,287,5
126,661,Wearable Technology - seize front-end action-items,7,861.91,Big speech environmental call space. Specifically designed for wearable technology.,301,47
127,5239,Smartphones & Accessories - streamline B2C action-items,1,947.58,Market few fund. Specifically designed for smartphones & accessories.,462,58
128,8040,Smartphones & Accessories - empower interactive info-mediaries,1,1262.0,Thank human without want fact decision argue. Specifically designed for smartphones & accessories.,44,19
129,3942,Drones & Tech Toys - extend cross-platform models,8,658.25,Force audience newspaper size value area. Specifically designed for drones & tech toys.,85,99
130,5999,Drones & Tech Toys - extend proactive web-readiness,8,143.62,Skin star yes get now show data hotel. Specifically designed for drones & tech toys.,240,22
131,2436,Computers & Laptops - iterate next-generation deliverables,2,358.96,Few owner skill wait senior. Specifically designed for computers & laptops.,325,15
132,5967,Gaming Consoles & Accessories - engineer revolutionary eyeballs,5,494.37,Certainly material subject box thus eye skill. Specifically designed for gaming consoles & accessories.,185,40
133,1161,Gaming Consoles & Accessories - utilize 24/365 portals,5,1186.47,Bag father seem section. Specifically designed for gaming consoles & accessories.,348,63
134,5914,Smartphones & Accessories - redefine web-enabled schemas,1,73.9,Society student by school family draw west. Specifically designed for smartphones & accessories.,40,16
135,4313,Gaming Consoles & Accessories - engage leading-edge supply-chains,5,1464.61,Ball question model commercial paper put. Specifically designed for gaming consoles & accessories.,84,25
136,6536,Drones & Tech Toys - re-intermediate robust methodologies,8,629.12,Pick while next environment shake. Specifically designed for drones & tech toys.,183,35
137,8241,Smartphones & Accessories - maximize out-of-the-box ROI,1,1102.11,Another school other dog thing. Specifically designed for smartphones & accessories.,170,88
138,8027,Gaming Consoles & Accessories - integrate strategic networks,5,1430.95,Than morning fine per recent gun common trouble. Specifically designed for gaming consoles & accessories.,205,66
139,3892,Drones & Tech Toys - orchestrate compelling portals,8,1324.62,Part member fish television bed. Specifically designed for drones & tech toys.,112,51
140,6927,Wearable Technology - disintermediate ubiquitous functionalities,7,856.41,Range there central outside. Specifically designed for wearable technology.,229,73
141,876,Wearable Technology - morph innovative deliverables,7,430.56,Peace those visit push later weight. Specifically designed for wearable technology.,188,77
142,223,Drones & Tech Toys - repurpose end-to-end partnerships,8,241.64,Analysis focus pull tonight father visit. Specifically designed for drones & tech toys.,378,89
143,232,Smartphones & Accessories - envisioneer ubiquitous metrics,1,314.82,Opportunity voice return. Specifically designed for smartphones & accessories.,116,63
144,9407,Gaming Consoles & Accessories - seize killer ROI,5,267.44,Nearly Congress new know. Specifically designed for gaming consoles & accessories.,324,90
145,98,Wearable Technology - redefine user-centric ROI,7,1237.05,Address follow truth station. Specifically designed for wearable technology.,387,6
146,9194,TVs & Monitors - re-contextualize magnetic e-business,4,544.04,Others what job. Specifically designed for tvs & monitors.,88,69
147,2059,TVs & Monitors - enable dynamic web services,4,1455.41,Candidate myself general trip process. Specifically designed for tvs & monitors.,330,84
148,2512,Computers & Laptops - e-enable frictionless networks,2,1277.95,Fear or trouble author guess play. Specifically designed for computers & laptops.,97,55
149,5864,Drones & Tech Toys - synergize revolutionary eyeballs,8,1417.44,Parent tonight author hot financial most new forget. Specifically designed for drones & tech toys.,399,44
150,6165,Smartphones & Accessories - maximize impactful convergence,1,611.83,Leader real able. Specifically designed for smartphones & accessories.,61,60
151,1095,Smartphones & Accessories - implement back-end channels,1,1349.17,Room old break light of avoid. Specifically designed for smartphones & accessories.,168,79
152,8784,Smartphones & Accessories - re-contextualize collaborative web services,1,550.3,Consider find everything knowledge effort. Specifically designed for smartphones & accessories.,314,67
153,641,Computers & Laptops - synergize one-to-one action-items,2,677.15,True or must wear she artist store money. Specifically designed for computers & laptops.,389,1
154,7761,Smartphones & Accessories - aggregate holistic partnerships,1,310.8,Force event front bill make. Specifically designed for smartphones & accessories.,183,40
155,4462,Gaming Consoles & Accessories - whiteboard 24/365 e-tailers,5,1294.08,Color enter either task. Specifically designed for gaming consoles & accessories.,129,20
156,1308,Drones & Tech Toys - brand collaborative niches,8,193.92,Resource building dog natural probably decade fear. Specifically designed for drones & tech toys.,362,13
157,9832,TVs & Monitors - unleash bricks-and-clicks networks,4,1020.06,Avoid particularly leg several region travel. Specifically designed for tvs & monitors.,369,61
158,4455,Smartphones & Accessories - reinvent collaborative applications,1,771.96,It health push school nothing which. Specifically designed for smartphones & accessories.,31,74
159,7022,Gaming Consoles & Accessories - seize mission-critical channels,5,846.92,Congress general himself despite. Specifically designed for gaming consoles & accessories.,128,7
160,8456,Gaming Consoles & Accessories - architect efficient niches,5,537.95,Recognize happen above challenge like big even. Specifically designed for gaming consoles & accessories.,14,9
161,2206,Drones & Tech Toys - incentivize strategic deliverables,8,1483.74,Fall security three little sell. Specifically designed for drones & tech toys.,348,84
162,5382,Computers & Laptops - scale holistic users,2,993.32,Present and interview city performance sound defense. Specifically designed for computers & laptops.,58,37
163,158,TVs & Monitors - orchestrate scalable info-mediaries,4,1018.56,Than suggest without part receive director win. Specifically designed for tvs & monitors.,290,68
164,6892,Computers & Laptops - transform dynamic functionalities,2,1370.66,Speech send my late require. Specifically designed for computers & laptops.,134,30
165,6290,Gaming Consoles & Accessories - synthesize transparent portals,5,210.04,Threat hot idea. Specifically designed for gaming consoles & accessories.,72,97
166,5188,Smartphones & Accessories - transform wireless networks,1,889.98,Friend country choice down rate. Specifically designed for smartphones & accessories.,309,83
167,8101,Smartphones & Accessories - streamline holistic infrastructures,1,1148.2,Carry nearly per Mr toward loss. Specifically designed for smartphones & accessories.,379,95
168,5141,Gaming Consoles & Accessories - transition real-time info-mediaries,5,847.68,Activity increase outside religious. Specifically designed for gaming consoles & accessories.,194,48
169,4270,Computers & Laptops - leverage vertical metrics,2,1471.99,Example ground available respond common work interesting. Specifically designed for computers & laptops.,167,2
170,8938,Drones & Tech Toys - deliver compelling mindshare,8,363.71,Note could service ground organization fish look. Specifically designed for drones & tech toys.,15,61
171,1958,Gaming Consoles & Accessories - leverage granular vortals,5,411.77,Various city she tree wife. Specifically designed for gaming consoles & accessories.,436,18
172,1819,Smartphones & Accessories - re-contextualize open-source e-tailers,1,627.02,Bag direction size become material. Specifically designed for smartphones & accessories.,245,18
173,8559,TVs & Monitors - utilize plug-and-play e-business,4,356.76,Suffer available fall interview Congress. Specifically designed for tvs & monitors.,443,12
174,9536,Smartphones & Accessories - iterate bricks-and-clicks interfaces,1,1208.91,Story address center Democrat. Specifically designed for smartphones & accessories.,146,64
175,7635,TVs & Monitors - generate rich bandwidth,4,678.72,Simply white serve save hit. Specifically designed for tvs & monitors.,27,80
176,3144,Gaming Consoles & Accessories - empower transparent web services,5,876.59,Skin window ten may include. Specifically designed for gaming consoles & accessories.,66,29
177,7177,TVs & Monitors - grow virtual bandwidth,4,883.85,Model star need national meeting. Specifically designed for tvs & monitors.,297,64
178,4755,TVs & Monitors - reinvent cross-platform models,4,220.96,Difference drop provide. Specifically designed for tvs & monitors.,364,10
179,5099,Drones & Tech Toys - embrace B2C models,8,320.43,Real world get hotel old. Specifically designed for drones & tech toys.,473,28
180,5274,TVs & Monitors - strategize front-end models,4,528.05,Like wait language event visit impact. Specifically designed for tvs & monitors.,177,5
181,4592,Smartphones & Accessories - visualize real-time supply-chains,1,1198.67,Structure tonight always benefit model. Specifically designed for smartphones & accessories.,94,58
182,9410,Smartphones & Accessories - aggregate leading-edge experiences,1,594.08,Take whether trial the above Mrs find develop. Specifically designed for smartphones & accessories.,156,21
183,2107,Gaming Consoles & Accessories - enhance customized bandwidth,5,854.64,Already point threat plan tell present lay. Specifically designed for gaming consoles & accessories.,139,77
184,6001,Drones & Tech Toys - repurpose value-added technologies,8,1150.41,Service there time industry. Specifically designed for drones & tech toys.,48,27
185,6149,Wearable Technology - redefine cutting-edge e-business,7,1189.75,Lay call laugh four. Specifically designed for wearable technology.,223,57
186,9120,TVs & Monitors - incentivize out-of-the-box technologies,4,1483.46,Add billion friend reveal area whatever front. Specifically designed for tvs & monitors.,428,94
187,8121,TVs & Monitors - cultivate bleeding-edge paradigms,4,330.78,Leave get board capital executive space ago. Specifically designed for tvs & monitors.,392,5
188,9677,Gaming Consoles & Accessories - repurpose 24/7 e-commerce,5,845.49,Alone fund become international information ok inside. Specifically designed for gaming consoles & accessories.,460,41
189,5619,Wearable Technology - grow front-end networks,7,1312.08,Myself cold bar yourself. Specifically designed for wearable technology.,104,74
190,2323,Computers & Laptops - synthesize B2B communities,2,163.41,Whatever they middle law young staff but. Specifically designed for computers & laptops.,85,100
191,1530,Gaming Consoles & Accessories - streamline turn-key portals,5,1056.51,Miss energy create well energy. Specifically designed for gaming consoles & accessories.,422,2
192,1073,Smartphones & Accessories - productize holistic platforms,1,1184.89,Fill single story note political. Specifically designed for smartphones & accessories.,352,5
193,1566,Computers & Laptops - unleash interactive e-tailers,2,591.2,Nor buy coach that mouth. Specifically designed for computers & laptops.,90,7
194,9502,Smartphones & Accessories - repurpose robust action-items,1,57.03,Also wonder deal theory. Specifically designed for smartphones & accessories.,378,90
195,3401,Smartphones & Accessories - transition seamless vortals,1,211.19,Various suggest life candidate close may. Specifically designed for smartphones & accessories.,484,23
196,1799,Gaming Consoles & Accessories - optimize 24/365 applications,5,1367.5,Talk make listen office pay. Specifically designed for gaming consoles & accessories.,302,12
197,5806,TVs & Monitors - whiteboard global web services,4,1451.93,Practice artist coach southern young writer. Specifically designed for tvs & monitors.,357,41
198,835,Computers & Laptops - visualize viral technologies,2,895.44,Someone pay strategy opportunity development activity. Specifically designed for computers & laptops.,379,99
199,5564,Smartphones & Accessories - expedite robust partnerships,1,837.22,Share suggest rock majority pass which prove. Specifically designed for smartphones & accessories.,293,30
